frame	framerate
0	0.008619
1	0.138469
2	0.139559
3	0.306244
4	0.307323
5	0.308114
6	0.324649
7	0.327334
8	0.335171
9	0.345982
10	0.353047
11	0.354634
12	0.362164
13	0.377984
14	0.386528
15	0.389434
16	0.396531
17	0.403511
18	0.410453
19	0.417271
20	0.424164
21	0.441665
22	0.451906
23	0.458959
24	0.465846
25	0.474605
26	0.479589
27	0.486689
28	0.493584
29	0.500532
30	0.507493
31	0.514399
32	0.521378
33	0.528271
34	0.53525
35	0.542247
36	0.549092
37	0.556093
38	0.56305
39	0.570181
40	0.576895
41	0.583847
42	0.590773
43	0.59777
44	0.604471
45	0.611595
46	0.618574
47	0.625476
48	0.632427
49	0.63937
50	0.646333
51	0.653241
52	0.660252
53	0.667259
54	0.674125
55	0.681091
56	0.687968
57	0.695024
58	0.70188
59	0.708906
60	0.715757
61	0.722507
62	0.729645
63	0.736658
64	0.743631
65	0.750517
66	0.757569
67	0.764392
68	0.771141
69	0.778244
70	0.785269
71	0.792118
72	0.79909
73	0.806065
74	0.812938
75	0.819922
76	0.826842
77	0.833797
78	0.840733
79	0.847718
80	0.854611
81	0.861545
82	0.868662
83	0.875474
84	0.882606
85	0.889373
86	0.896386
87	0.903309
88	0.910218
89	0.917176
90	0.924192
91	0.931072
92	0.93777
93	0.944927
94	0.951813
95	0.958931
96	0.965816
97	0.972813
98	0.979805
99	0.986587
100	0.993529
101	1.00046
102	1.00751
103	1.01437
104	1.02133
105	1.02824
106	1.0352
107	1.04211
108	1.04905
109	1.05604
110	1.06293
111	1.07006
112	1.07683
113	1.08392
114	1.09078
115	1.0976
116	1.10466
117	1.11159
118	1.11851
119	1.12545
120	1.13251
121	1.13934
122	1.14629
123	1.15321
124	1.16023
125	1.16711
126	1.17407
127	1.18104
128	1.18795
129	1.19495
130	1.20186
131	1.20882
132	1.21571
133	1.22275
134	1.2296
135	1.23631
136	1.24336
137	1.25023
138	1.25726
139	1.26412
140	1.27141
141	1.27808
142	1.28506
143	1.29196
144	1.2989
145	1.30586
146	1.31272
147	1.31968
148	1.32657
149	1.33357
150	1.34054
151	1.34743
152	1.35436
153	1.36128
154	1.36823
155	1.37522
156	1.38214
157	1.38911
158	1.39603
159	1.40298
160	1.40998
161	1.41686
162	1.42381
163	1.43075
164	1.43773
165	1.44468
166	1.45157
167	1.45853
168	1.46547
169	1.47251
170	1.47941
171	1.48638
172	1.49346
173	1.50024
174	1.50728
175	1.51418
176	1.52103
177	1.52798
178	1.5349
179	1.54185
180	1.54878
181	1.55568
182	1.56266
183	1.56961
184	1.57657
185	1.58356
186	1.59042
187	1.59743
188	1.60432
189	1.61127
190	1.61818
191	1.62516
192	1.63214
193	1.63909
194	1.64599
195	1.65294
196	1.65988
197	1.66683
198	1.67383
199	1.68085
200	1.68771
201	1.6947
202	1.70156
203	1.70861
204	1.71546
205	1.72245
206	1.72932
207	1.73629
208	1.74328
209	1.75023
210	1.75717
211	1.76402
212	1.77097
213	1.77789
214	1.78484
215	1.79178
216	1.79876
217	1.80573
218	1.81265
219	1.81963
220	1.82656
221	1.83347
222	1.8405
223	1.84738
224	1.85443
225	1.86132
226	1.86826
227	1.87521
228	1.88225
229	1.88903
230	1.89621
231	1.90293
232	1.90994
233	1.9168
234	1.9238
235	1.93068
236	1.93762
237	1.94461
238	1.95151
239	1.95846
240	1.96539
241	1.97278
242	1.9793
243	1.98624
244	1.99317
245	2.00012
246	2.00712
247	2.014
248	2.02102
249	2.02789
250	2.03486
251	2.04191
252	2.04873
253	2.05566
254	2.0626
255	2.06956
256	2.07655
257	2.08359
258	2.0904
259	2.09738
260	2.10428
261	2.11129
262	2.11816
263	2.1251
264	2.13205
265	2.13913
266	2.14603
267	2.15289
268	2.15987
269	2.16677
270	2.17379
271	2.18066
272	2.1876
273	2.19462
274	2.20151
275	2.20851
276	2.21545
277	2.22235
278	2.22927
279	2.23625
280	2.2432
281	2.25009
282	2.25705
283	2.26398
284	2.27093
285	2.27792
286	2.2849
287	2.29177
288	2.29874
289	2.30572
290	2.31259
291	2.31959
292	2.32648
293	2.33346
294	2.34042
295	2.34733
296	2.35425
297	2.3612
298	2.36814
299	2.37513
300	2.38205
301	2.38897
302	2.39597
303	2.40286
304	2.40985
305	2.41674
306	2.42369
307	2.43063
308	2.43758
309	2.44458
310	2.45146
311	2.45844
312	2.46537
313	2.47233
314	2.47924
