frame	framerate
0	0.010875
1	0.202223
2	0.203169
3	0.358748
4	0.359004
5	0.359406
6	0.382186
7	0.39395
8	0.409045
9	0.417455
10	0.429194
11	0.441131
12	0.452953
13	0.465201
14	0.47628
15	0.488047
16	0.500756
17	0.511707
18	0.52344
19	0.535173
20	0.546956
21	0.558688
22	0.5706
23	0.582409
24	0.594083
25	0.605895
26	0.617722
27	0.629391
28	0.641177
29	0.652926
30	0.664698
31	0.67648
32	0.688322
33	0.700025
34	0.711804
35	0.723578
36	0.73537
37	0.747155
38	0.758931
39	0.770681
40	0.782593
41	0.794293
42	0.806172
43	0.817881
44	0.829599
45	0.841325
46	0.853148
47	0.864917
48	0.876712
49	0.888476
50	0.900246
51	0.912085
52	0.923955
53	0.935623
54	0.947352
55	0.959152
56	0.970904
57	0.98268
58	0.994563
59	1.00634
60	1.01805
61	1.02976
62	1.04156
63	1.05335
64	1.06512
65	1.07693
66	1.08864
67	1.10056
68	1.11223
69	1.12404
70	1.13575
71	1.14755
72	1.15932
73	1.17112
74	1.18286
75	1.19477
76	1.20662
77	1.21828
78	1.23
79	1.24179
80	1.25355
81	1.26534
82	1.27717
83	1.28888
84	1.30071
85	1.31245
86	1.3242
87	1.336
88	1.34777
89	1.35956
90	1.3713
91	1.38309
92	1.39501
93	1.40673
94	1.4185
95	1.43024
96	1.44197
97	1.45376
98	1.46553
99	1.47731
100	1.48911
101	1.50087
102	1.51267
103	1.52443
104	1.53619
105	1.54798
106	1.55973
107	1.57152
108	1.58335
109	1.59517
110	1.60685
111	1.61876
112	1.63052
113	1.6422
114	1.65396
115	1.66573
116	1.67754
117	1.6893
118	1.70108
119	1.71285
120	1.72466
121	1.73641
122	1.74823
123	1.75975
124	1.77174
125	1.78349
126	1.79536
127	1.80716
128	1.81896
129	1.83064
130	1.84241
131	1.85424
132	1.86597
133	1.87774
134	1.88951
135	1.9013
136	1.91309
137	1.92487
138	1.93665
139	1.94839
140	1.96017
141	1.97174
142	1.98374
143	1.99551
144	2.0074
145	2.01919
146	2.03087
147	2.04262
148	2.05439
149	2.06617
150	2.07796
151	2.08971
152	2.10151
153	2.11328
154	2.12505
155	2.13682
156	2.14861
157	2.1604
158	2.17217
159	2.18395
160	2.19572
161	2.2076
162	2.21938
163	2.23105
164	2.24285
165	2.2546
166	2.26641
167	2.2782
168	2.28989
169	2.3017
170	2.31352
171	2.32527
172	2.33704
173	2.34882
174	2.36061
175	2.37238
176	2.38416
177	2.39592
178	2.40785
179	2.41957
180	2.43136
181	2.44305
182	2.45482
